cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,cycle_norm,RUL
1,-0.0005,0.0004,100.0,518.67,642.38,1589.49,1395.48,14.62,21.61,554.76,2387.97,9071.27,1.3,47.24,522.19,2387.99,8141.69,8.4081,0.03,390,2388,100.0,38.97,23.4073,0.0038610038610038,258
2,0.0008,-0.0003,100.0,518.67,642.57,1583.11,1395.97,14.62,21.61,553.97,2388.0,9078.21,1.3,47.0,522.3,2388.02,8148.24,8.4216,0.03,391,2388,100.0,38.85,23.5043,0.0077220077220077,257
3,-0.0014,-0.0002,100.0,518.67,642.25,1589.44,1397.74,14.62,21.61,554.95,2387.95,9063.37,1.3,47.18,522.36,2387.98,8148.83,8.4258,0.03,392,2388,100.0,39.07,23.4113,0.0115830115830115,256
4,-0.002,0.0001,100.0,518.67,642.31,1585.59,1397.85,14.62,21.61,553.3,2388.06,9068.16,1.3,47.07,522.09,2388.06,8150.3,8.4175,0.03,392,2388,100.0,39.12,23.4616,0.0154440154440154,255
5,0.0016,0.0,100.0,518.67,642.25,1587.23,1402.54,14.62,21.61,554.64,2388.04,9066.99,1.3,47.31,522.0,2388.01,8149.4,8.4099,0.03,391,2388,100.0,38.94,23.4781,0.0193050193050193,254
6,0.0011,-0.0005,100.0,518.67,642.49,1586.12,1403.1,14.62,21.61,553.89,2388.07,9067.91,1.3,47.29,521.89,2388.0,8151.48,8.406,0.03,392,2388,100.0,39.07,23.394,0.0231660231660231,253
7,-0.0038,0.0002,100.0,518.67,642.45,1588.36,1391.19,14.62,21.61,554.66,2387.98,9069.13,1.3,47.21,522.54,2388.0,8153.91,8.3984,0.03,392,2388,100.0,38.91,23.349,0.027027027027027,252
8,-0.0007,-0.0005,100.0,518.67,642.41,1586.97,1401.42,14.62,21.61,554.05,2388.01,9064.8,1.3,47.19,522.26,2388.08,8146.34,8.402,0.03,392,2388,100.0,38.95,23.381,0.0308880308880308,251
9,-0.0026,0.0,100.0,518.67,642.22,1582.13,1401.77,14.62,21.61,554.31,2387.97,9069.41,1.3,47.23,521.78,2388.04,8153.01,8.3848,0.03,392,2388,100.0,38.93,23.4429,0.0347490347490347,250
10,0.0019,-0.0002,100.0,518.67,642.29,1588.96,1393.25,14.62,21.61,554.14,2387.96,9065.28,1.3,47.14,522.09,2388.02,8151.36,8.4222,0.03,392,2388,100.0,38.96,23.3398,0.0386100386100386,249
11,0.0026,-0.0002,100.0,518.67,642.74,1585.25,1393.96,14.62,21.61,554.11,2388.01,9074.91,1.3,47.39,522.12,2387.98,8144.89,8.3948,0.03,392,2388,100.0,39.14,23.3074,0.0424710424710424,248
12,-0.0036,-0.0004,100.0,518.67,642.08,1590.55,1397.36,14.62,21.61,554.21,2387.99,9071.72,1.3,47.28,522.13,2387.99,8149.4,8.3766,0.03,393,2388,100.0,38.92,23.3777,0.0463320463320463,247
13,-0.0011,0.0001,100.0,518.67,642.47,1584.88,1392.15,14.62,21.61,554.61,2387.95,9065.52,1.3,47.17,522.55,2388.01,8144.81,8.4199,0.03,391,2388,100.0,39.01,23.4383,0.0501930501930501,246
14,0.0009,0.0001,100.0,518.67,641.76,1579.88,1390.48,14.62,21.61,554.47,2388.05,9067.42,1.3,47.18,521.98,2388.01,8148.8,8.4196,0.03,391,2388,100.0,39.02,23.4888,0.054054054054054,245
15,-0.005,0.0004,100.0,518.67,642.29,1582.42,1398.41,14.62,21.61,554.02,2388.08,9068.28,1.3,47.24,521.89,2388.0,8146.48,8.3901,0.03,393,2388,100.0,39.07,23.3772,0.0579150579150579,244
16,0.0024,0.0003,100.0,518.67,642.3,1588.69,1405.02,14.62,21.61,554.14,2387.97,9073.41,1.3,47.04,522.54,2388.02,8153.29,8.4122,0.03,391,2388,100.0,39.08,23.3613,0.0617760617760617,243
17,-0.0019,0.0001,100.0,518.67,642.08,1588.75,1397.63,14.62,21.61,554.94,2387.94,9071.39,1.3,47.34,522.02,2387.99,8151.04,8.419,0.03,390,2388,100.0,38.93,23.404,0.0656370656370656,242
18,-0.0036,0.0002,100.0,518.67,642.47,1583.49,1394.65,14.62,21.61,553.92,2387.98,9073.12,1.3,47.21,522.31,2388.04,8149.43,8.388,0.03,392,2388,100.0,38.87,23.4165,0.0694980694980695,241
19,-0.001,-0.0,100.0,518.67,642.01,1586.11,1397.51,14.62,21.61,554.2,2388.0,9065.77,1.3,47.16,522.26,2388.0,8153.83,8.4216,0.03,392,2388,100.0,39.02,23.4083,0.0733590733590733,240
20,-0.0028,0.0004,100.0,518.67,641.99,1585.03,1395.92,14.62,21.61,554.26,2388.02,9068.68,1.3,47.22,522.61,2388.02,8149.54,8.4111,0.03,392,2388,100.0,38.87,23.3776,0.0772200772200772,239
21,0.0001,-0.0002,100.0,518.67,641.77,1589.77,1404.33,14.62,21.61,554.69,2388.03,9071.68,1.3,47.23,521.78,2387.97,8148.23,8.3926,0.03,393,2388,100.0,38.79,23.3863,0.081081081081081,238
22,0.0011,0.0004,100.0,518.67,641.44,1578.03,1394.58,14.62,21.61,554.63,2388.0,9071.1,1.3,47.25,522.02,2388.0,8145.29,8.3609,0.03,393,2388,100.0,39.01,23.2512,0.0849420849420849,237
23,-0.0057,-0.0001,100.0,518.67,641.76,1586.41,1398.09,14.62,21.61,554.38,2388.01,9067.09,1.3,47.21,522.48,2388.01,8146.64,8.4143,0.03,391,2388,100.0,39.06,23.3937,0.0888030888030888,236
24,0.0057,0.0002,100.0,518.67,642.44,1583.32,1398.75,14.62,21.61,553.84,2387.99,9066.23,1.3,47.3,522.65,2388.02,8151.81,8.4022,0.03,391,2388,100.0,39.03,23.4204,0.0926640926640926,235
25,-0.0009,-0.0004,100.0,518.67,641.79,1578.13,1397.07,14.62,21.61,554.2,2388.07,9072.66,1.3,47.26,522.27,2387.97,8149.05,8.4361,0.03,392,2388,100.0,39.05,23.3838,0.0965250965250965,234
